     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -21.57639    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.45139    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.32639    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.20239    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.07739    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.95239    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.82839    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.70339    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.57839    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.45439    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.32939    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.20439    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -20.08039    -0.00248    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00330
   -19.95539    -0.00257    -0.00013    -0.00028    -0.00011    -0.00003    -0.00009    -0.00014    -0.00002    -0.00008    -0.00345
   -19.83039    -0.00341    -0.00015    -0.00036    -0.00019    -0.00008    -0.00012    -0.00014    -0.00016    -0.00011    -0.00472
   -19.70639    -0.00983    -0.00030    -0.00075    -0.00047    -0.00025    -0.00025    -0.00014    -0.00062    -0.00023    -0.01285
   -19.58139    -0.04550    -0.00091    -0.00237    -0.00099    -0.00061    -0.00061    -0.00015    -0.00150    -0.00048    -0.05311
   -19.45639    -0.16413    -0.00270    -0.00708    -0.00160    -0.00104    -0.00134    -0.00015    -0.00245    -0.00083    -0.18132
   -19.33139    -0.39521    -0.00605    -0.01558    -0.00222    -0.00143    -0.00243    -0.00016    -0.00310    -0.00122    -0.42739
