     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -20.95239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82839     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57839     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45439     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.32939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.20439     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
   -20.08039     0.00020     0.00001     0.00002     0.00002     0.00001     0.00001     0.00000     0.00004     0.00001     0.00032
   -19.95539     0.00295     0.00009     0.00024     0.00025     0.00016     0.00011     0.00000     0.00042     0.00011     0.00433
   -19.83039     0.03073     0.00071     0.00189     0.00136     0.00090     0.00067     0.00000     0.00234     0.00061     0.03921
   -19.70639     0.21863     0.00384     0.01016     0.00373     0.00254     0.00243     0.00001     0.00639     0.00180     0.24953
   -19.58139     0.89204     0.01360     0.03592     0.00532     0.00392     0.00600     0.00003     0.00883     0.00309     0.96876
   -19.45639     1.90776     0.02773     0.07194     0.00492     0.00376     0.00988     0.00008     0.00663     0.00358     2.03626
   -19.33139     2.31065     0.03378     0.07930     0.00727     0.00260     0.00953     0.00012     0.00325     0.00313     2.44963
   -19.20739     2.31986     0.03586     0.06187     0.01760     0.00162     0.00549     0.00019     0.00174     0.00266     2.44689
   -19.08239     2.41017     0.03897     0.05068     0.02700     0.00126     0.00277     0.00026     0.00152     0.00263     2.53526
   -18.95739     1.81348     0.03044     0.03536     0.02363     0.00117     0.00209     0.00023     0.00151     0.00227     1.91017
   -18.83339     1.31884     0.02582     0.02513     0.02450     0.00215     0.00394     0.00028     0.00281     0.00296     1.40640
   -18.70839     1.97585     0.04337     0.03916     0.04428     0.00463     0.00872     0.00054     0.00603     0.00574     2.12832
   -18.58339     2.53618     0.05675     0.05342     0.05590     0.00575     0.01098     0.00070     0.00744     0.00703     2.73415
   -18.45939     1.75637     0.03980     0.03935     0.03721     0.00366     0.00705     0.00047     0.00470     0.00446     1.89309
   -18.33439     0.62145     0.01432     0.01480     0.01263     0.00118     0.00227     0.00016     0.00150     0.00143     0.66976
   -18.20939     0.11094     0.00260     0.00280     0.00216     0.00019     0.00036     0.00003     0.00024     0.00023     0.11957
   -18.08539     0.00988     0.00024     0.00026     0.00018     0.00002     0.00003     0.00000     0.00002     0.00002     0.01065
   -17.96039     0.00043     0.00001     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00047
   -17.83539     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
   -17.71139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.58639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.46139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.33639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.21239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.08739     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.96239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.83839     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
   -16.71339     0.00022     0.00001     0.00002     0.00001     0.00000     0.00002     0.00001     0.00000     0.00000     0.00030
   -16.58839     0.00230     0.00014     0.00021     0.00006     0.00000     0.00021     0.00009     0.00001     0.00002     0.00305
   -16.46439     0.01133     0.00068     0.00104     0.00029     0.00002     0.00105     0.00043     0.00005     0.00011     0.01501
   -16.33939     0.02680     0.00160     0.00246     0.00068     0.00006     0.00248     0.00103     0.00012     0.00027     0.03550
   -16.21439     0.03056     0.00183     0.00281     0.00078     0.00006     0.00283     0.00117     0.00014     0.00031     0.04049
   -16.09039     0.01683     0.00101     0.00155     0.00043     0.00004     0.00156     0.00064     0.00008     0.00017     0.02230
   -15.96539     0.00446     0.00027     0.00041     0.00011     0.00001     0.00041     0.00017     0.00002     0.00004     0.00591
   -15.84039     0.00057     0.00003     0.00005     0.00001     0.00000     0.00005     0.00002     0.00000     0.00001     0.00075
   -15.71539     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00005
   -15.59139     0.00002     0.00001     0.00000     0.00002     0.00002     0.00000     0.00001     0.00000     0.00001     0.00008
   -15.46639     0.00017     0.00005     0.00000     0.00012     0.00013     0.00000     0.00006     0.00000     0.00008     0.00061
   -15.34139     0.00070     0.00019     0.00001     0.00046     0.00046     0.00001     0.00023     0.00001     0.00032     0.00239
   -15.21739     0.00160     0.00037     0.00004     0.00097     0.00083     0.00003     0.00045     0.00003     0.00070     0.00502
   -15.09239     0.00211     0.00039     0.00007     0.00114     0.00080     0.00005     0.00048     0.00005     0.00087     0.00595
