     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -25.09702     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.93102     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.76502     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.59902     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.43402     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.26802    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.10202    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -23.93602    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -23.77002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -23.60502    -0.00001    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00002
   -23.43902    -0.00031    -0.00000    -0.00021    -0.00000    -0.00000    -0.00000    -0.00004    -0.00000    -0.00000    -0.00057
   -23.27302    -0.00304    -0.00004    -0.00205    -0.00000    -0.00000    -0.00002    -0.00040    -0.00000    -0.00000    -0.00556
   -23.10702    -0.00851    -0.00011    -0.00574    -0.00001    -0.00000    -0.00006    -0.00112    -0.00001    -0.00000    -0.01555
   -22.94102    -0.00697    -0.00009    -0.00470    -0.00001    -0.00000    -0.00005    -0.00092    -0.00000    -0.00000    -0.01274
   -22.77602    -0.00167    -0.00002    -0.00112    -0.00000    -0.00000    -0.00001    -0.00022    -0.00000    -0.00000    -0.00304
